"Variable","Odds_Ratio","CI_Lower","CI_Upper"
"(Intercept)",0.157991472052086,0.117915124790232,0.21113357032403
"age",1.00729163986502,0.954695581986714,1.06263865996546
"jobblue-collar",0.698393476890914,0.590445166813023,0.826211641123416
"jobentrepreneur",0.691367658117481,0.516711263638463,0.916243096570691
"jobhousemaid",0.615304608627962,0.447649980528735,0.835893143311188
"jobmanagement",0.840675056022467,0.710717909460911,0.995327264562924
"jobretired",1.38074192235881,1.10367365619792,1.72589721844931
"jobself-employed",0.694771105392878,0.533550519406426,0.899006131411718
"jobservices",0.783182672512758,0.644729161010401,0.949562946781505
"jobstudent",1.93815281985296,1.5125975133215,2.47845423140601
"jobtechnician",0.82982444433176,0.709595112554255,0.971039238400215
"jobunemployed",0.87579909065219,0.675841832414799,1.12860515702873
"jobunknown",0.799073849129856,0.463410554698322,1.32628590590331
"marital_statusmarried",0.873808586053404,0.76300381998352,1.00277812851314
"marital_statussingle",1.21635474173753,1.04231054632791,1.42168559129996
"educationsecondary",1.11498870374859,0.962984485210939,1.29315571414481
"educationtertiary",1.44326425479974,1.21677831499013,1.71406742252427
"educationunknown",1.12340775863054,0.879517634283093,1.42904597595886
"credit_defaultyes",0.840494273407669,0.568180947298972,1.20628204311081
"avg_bank_balance",1.04233898582328,1.00413802684946,1.0802362023364
"housing_loanyes",0.465002903570823,0.423641880046415,0.510185885808613
"personal_loanyes",0.604790878004841,0.527738077477964,0.691081259825171
"contact_typetelephone",0.924826620009866,0.776297976188737,1.09731709314997
"contact_typeunknown",0.291325925628056,0.253404978064003,0.33390608554693
"contact_duration",2.87523055754763,2.76905846001806,2.9868638671727
"no_of_campaigns",0.705641693500881,0.655465002021431,0.757710743399851
"no_of_days_since_last_contact",1.02573214788061,0.955795848146554,1.10009583544553
"previous_no_of_contacts",1.10129021748601,1.04957477229574,1.15450596048948
"previous_outcomeother",1.25510794452339,1.02195162456167,1.53754823599072
"previous_outcomesuccess",10.3393392821694,8.58246411322802,12.4811628192408
"previous_outcomeunknown",0.870090917395628,0.700371675646687,1.08318740003336
